Date and Time, CO2On, LightOn, Light Level
2024Sep03 00:00:00, False,  True,       94
2024Sep03 00:00:10, False,  True,       94
2024Sep03 00:00:20, False,  True,       94
2024Sep03 00:00:30, False,  True,       94
2024Sep03 00:00:40, False,  True,       94
2024Sep03 00:00:50, False,  True,       94
2024Sep03 00:01:00, False,  True,       94
2024Sep03 00:01:10,  True,  True,       94
2024Sep03 00:01:20,  True,  True,       94
2024Sep03 00:01:30,  True,  True,       94
2024Sep03 00:01:40, False,  True,       94
2024Sep03 00:01:50, False,  True,       94
2024Sep03 00:02:10, False,  True,       94
2024Sep03 00:02:20, False,  True,       94
2024Sep03 00:02:30, False,  True,       94
2024Sep03 00:02:40, False,  True,       94
2024Sep03 00:02:50, False,  True,       94
2024Sep03 00:03:00, False,  True,       94
2024Sep03 00:03:20, False,  True,       94
2024Sep03 00:03:30, False,  True,       94
2024Sep03 00:03:40, False,  True,       94
2024Sep03 00:03:50, False,  True,       94
2024Sep03 00:04:00, False,  True,       94
2024Sep03 00:04:10, False,  True,       94
2024Sep03 00:04:20, False,  True,       94
2024Sep03 00:04:40, False,  True,       94
2024Sep03 00:04:50, False,  True,       94
2024Sep03 00:05:00, False,  True,       94
2024Sep03 00:05:10, False,  True,       94
2024Sep03 00:05:20, False,  True,       94
2024Sep03 00:05:30, False,  True,       94
2024Sep03 00:05:40, False,  True,       94
2024Sep03 00:06:00, False,  True,       94
2024Sep03 00:06:10,  True,  True,       94
2024Sep03 00:06:20,  True,  True,       94
2024Sep03 00:06:30,  True,  True,       94
2024Sep03 00:06:40, False,  True,       94
2024Sep03 00:06:50, False,  True,       94
2024Sep03 00:07:00, False,  True,       94
2024Sep03 00:07:20, False,  True,       94
2024Sep03 00:07:30, False,  True,       94
2024Sep03 00:07:40, False,  True,       94
2024Sep03 00:07:50, False,  True,       94
2024Sep03 00:08:00, False,  True,       94
2024Sep03 00:08:10, False,  True,       94
2024Sep03 00:08:20, False,  True,       94
2024Sep03 00:08:40, False,  True,       94
2024Sep03 00:08:50, False,  True,       94
2024Sep03 00:09:00, False,  True,       94
