Date and Time, PBR Flow Gauge, Ambient Temp, VFD Temp
2024Jul22 09:10:00,   172426,    46.35,    48.36
2024Jul22 09:12:00,   172426,    46.64,    48.64
2024Jul22 09:14:00,   172426,    46.94,    48.81
2024Jul22 09:16:00,   172426,    47.02,    48.73
2024Jul22 09:18:00,   172426,    47.28,    49.74
2024Jul22 09:20:00,   172426,    47.53,    49.85
2024Jul22 09:22:00,   172426,    47.58,    49.50
2024Jul22 09:24:00,   172426,    47.60,    49.43
2024Jul22 09:26:00,   172426,    47.58,    49.52
2024Jul22 09:28:00,   172426,    47.61,    49.56
2024Jul22 09:30:00,   172426,    47.96,    49.78
2024Jul22 09:32:00,   173471,    48.07,    50.68
2024Jul22 09:34:00,   176677,    48.19,    50.85
2024Jul22 09:36:00,   179892,    48.47,    50.85
2024Jul22 09:38:00,   183092,    48.44,    51.43
2024Jul22 09:41:00,   187879,    48.67,    50.97
2024Jul22 09:43:00,   191015,    48.41,    50.30
2024Jul22 09:45:00,   194179,    48.97,    51.65
2024Jul22 09:47:00,   197366,    48.93,    51.20
2024Jul22 09:49:00,   200522,    48.91,    51.58
