Date and Time, Precipitation, Outdoor Temp
2024Aug26 16:17:00,        1,    31.52
2024Aug26 16:22:00,        1,    30.84
2024Aug26 16:27:00,        1,    30.57
2024Aug26 16:32:00,        1,    29.97
2024Aug26 16:37:00,        1,    30.30
2024Aug26 16:42:00,        1,    29.35
2024Aug26 16:47:00,        1,    29.77
2024Aug26 16:52:00,        1,    29.69
2024Aug26 16:57:00,        1,    29.23
2024Aug26 17:02:00,        1,    29.20
2024Aug26 17:07:00,        1,    30.00
2024Aug26 17:12:00,        1,    29.49
2024Aug26 17:17:00,        1,    28.69
2024Aug26 17:22:00,        1,    28.55
2024Aug26 17:27:00,        1,    28.84
2024Aug26 17:32:00,        1,    28.20
2024Aug26 17:37:00,        1,    28.06
2024Aug26 17:42:00,        1,    27.82
2024Aug26 17:47:00,        1,    27.98
2024Aug26 17:52:00,        1,    27.29
2024Aug26 17:57:00,        1,    27.20
2024Aug26 18:02:00,        1,    26.82
2024Aug26 18:07:00,        1,    26.78
2024Aug26 18:12:00,        1,    26.41
2024Aug26 18:17:00,        1,    26.17
2024Aug26 18:22:00,        1,    25.17
2024Aug26 18:27:00,        1,    24.80
2024Aug26 18:32:00,        1,    24.44
2024Aug26 18:37:00,        1,    24.27
2024Aug26 18:42:00,        1,    24.15
2024Aug26 18:47:00,        1,    24.01
2024Aug26 18:52:00,        1,    23.92
2024Aug26 18:57:00,        1,    23.80
2024Aug26 19:02:00,        1,    23.82
2024Aug26 19:07:00,        1,    23.74
2024Aug26 19:12:00,        1,    23.68
2024Aug26 19:17:00,        1,    23.60
2024Aug26 19:22:00,        1,    23.48
2024Aug26 19:27:00,        1,    23.38
2024Aug26 19:32:00,        1,    23.34
2024Aug26 19:37:00,        1,    23.27
2024Aug26 19:42:00,        1,    23.24
2024Aug26 19:47:00,        1,    23.29
2024Aug26 19:52:00,        1,    23.24
2024Aug26 19:57:00,        1,    23.20
2024Aug26 20:02:00,        1,    23.13
2024Aug26 20:07:00,        1,    23.05
2024Aug26 20:12:00,        1,    23.01
2024Aug26 20:17:00,        1,    22.90
2024Aug26 20:22:00,        1,    22.85
2024Aug26 20:27:00,        1,    22.82
2024Aug26 20:33:00,        1,    22.71
2024Aug26 20:38:00,        1,    22.70
2024Aug26 20:43:00,        1,    22.60
2024Aug26 20:48:00,        1,    22.64
2024Aug26 20:54:00,        1,    22.73
2024Aug26 20:59:00,        1,    22.62
2024Aug26 21:04:00,        1,    22.52
2024Aug26 21:09:00,        1,    22.44
2024Aug26 21:14:00,        1,    22.54
2024Aug26 21:19:00,        1,    22.51
2024Aug26 21:24:00,        1,    22.37
2024Aug26 21:29:00,        1,    22.32
2024Aug26 21:34:00,        1,    22.29
2024Aug26 21:39:00,        1,    22.35
2024Aug26 21:44:00,        1,    22.37
2024Aug26 21:49:00,        1,    22.42
2024Aug26 21:54:00,        1,    22.42
2024Aug26 21:59:00,        1,    22.32
2024Aug26 22:04:00,        1,    22.32
2024Aug26 22:09:00,        1,    22.40
2024Aug26 22:14:00,        1,    22.37
2024Aug26 22:19:00,        1,    22.29
2024Aug26 22:24:00,        1,    22.29
2024Aug26 22:29:00,        1,    22.29
2024Aug26 22:34:00,        1,    22.28
2024Aug26 22:40:00,        1,    22.32
2024Aug26 22:45:00,        1,    22.26
2024Aug26 22:50:00,        1,    22.27
2024Aug26 22:55:00,        1,    22.27
2024Aug26 23:00:00,        1,    22.17
2024Aug26 23:05:00,        1,    21.93
2024Aug26 23:10:00,        1,    21.78
2024Aug26 23:15:00,        1,    21.84
2024Aug26 23:20:00,        1,    21.80
2024Aug26 23:25:00,        1,    21.75
2024Aug26 23:30:00,        1,    21.78
2024Aug26 23:35:00,        1,    21.75
2024Aug26 23:40:00,        1,    21.79
2024Aug26 23:45:00,        1,    21.79
2024Aug26 23:50:00,        1,    21.62
2024Aug26 23:55:00,        1,    21.61
