Date and Time, Precipitation, PAR, Outdoor Temp
2024Sep18 00:04:00,        0,    -1.60,    23.20
2024Sep18 00:09:00,        0,    -1.61,    23.19
2024Sep18 00:14:00,        0,    -1.65,    23.09
2024Sep18 00:20:00,        0,    -1.61,    23.09
2024Sep18 00:25:00,        0,    -1.79,    23.09
2024Sep18 00:30:00,        0,    -1.88,    23.04
2024Sep18 00:35:00,        0,    -2.03,    22.91
2024Sep18 00:40:00,        0,    -2.00,    22.84
2024Sep18 00:45:00,        0,    -2.05,    22.80
2024Sep18 00:50:00,        0,    -2.09,    22.74
2024Sep18 00:55:00,        0,    -2.09,    22.61
2024Sep18 01:01:00,        0,    -2.09,    22.55
2024Sep18 01:06:00,        0,    -2.09,    22.47
2024Sep18 01:11:00,        0,    -2.09,    22.38
2024Sep18 01:16:00,        0,    -2.09,    22.42
2024Sep18 01:21:00,        0,    -2.09,    22.36
2024Sep18 01:26:00,        0,    -2.09,    22.21
2024Sep18 01:31:00,        0,    -2.09,    22.20
2024Sep18 01:36:00,        0,    -2.09,    22.24
2024Sep18 01:41:00,        0,    -2.09,    22.41
2024Sep18 01:46:00,        0,    -2.09,    22.29
2024Sep18 01:51:00,        0,    -2.09,    22.22
2024Sep18 01:56:00,        0,    -2.09,    22.07
2024Sep18 02:01:00,        0,    -2.09,    21.98
2024Sep18 02:06:00,        0,    -2.09,    22.04
2024Sep18 02:11:00,        0,    -2.09,    22.03
2024Sep18 02:16:00,        0,    -2.09,    22.15
2024Sep18 02:21:00,        0,    -2.09,    22.18
2024Sep18 02:26:00,        0,    -2.09,    22.19
2024Sep18 02:31:00,        0,    -2.09,    22.27
2024Sep18 02:36:00,        0,    -2.09,    22.38
2024Sep18 02:41:00,        0,    -2.09,    22.04
2024Sep18 02:46:00,        0,    -2.09,    21.99
2024Sep18 02:51:00,        0,    -2.09,    21.98
2024Sep18 02:56:00,        0,    -2.09,    21.98
2024Sep18 03:01:00,        0,    -2.09,    21.95
2024Sep18 03:07:00,        0,    -2.09,    22.05
2024Sep18 03:12:00,        0,    -2.09,    22.11
2024Sep18 03:17:00,        0,    -2.09,    22.09
2024Sep18 03:22:00,        0,    -2.09,    22.11
2024Sep18 03:27:00,        0,    -2.09,    22.18
2024Sep18 03:32:00,        0,    -2.09,    22.13
2024Sep18 03:37:00,        0,    -2.09,    22.10
2024Sep18 03:43:00,        0,    -2.09,    22.08
2024Sep18 03:48:00,        0,    -2.09,    22.11
2024Sep18 03:53:00,        0,    -2.09,    22.29
2024Sep18 03:58:00,        0,    -2.09,    22.24
2024Sep18 04:03:00,        0,    -2.09,    22.18
2024Sep18 04:08:00,        0,    -2.09,    22.19
2024Sep18 04:13:00,        0,    -2.09,    22.28
2024Sep18 04:19:00,        0,    -2.09,    22.30
2024Sep18 04:24:00,        0,    -2.09,    22.27
2024Sep18 04:29:00,        0,    -2.09,    22.21
2024Sep18 04:34:00,        0,    -2.09,    22.18
2024Sep18 04:39:00,        0,    -2.09,    22.28
2024Sep18 04:44:00,        0,    -2.09,    22.28
2024Sep18 04:49:00,        0,    -2.09,    22.36
2024Sep18 04:54:00,        0,    -2.09,    22.42
2024Sep18 04:59:00,        0,    -2.09,    22.44
2024Sep18 05:04:00,        0,    -2.09,    22.51
2024Sep18 05:09:00,        0,    -2.09,    22.47
2024Sep18 05:14:00,        0,    -2.09,    22.43
2024Sep18 05:19:00,        0,    -2.09,    22.43
2024Sep18 05:24:00,        0,    -2.09,    22.33
2024Sep18 05:29:00,        0,    -2.09,    22.36
2024Sep18 05:34:00,        0,    -2.09,    22.24
2024Sep18 05:39:00,        0,    -2.09,    22.26
2024Sep18 05:44:00,        0,    -2.09,    22.28
2024Sep18 05:49:00,        0,    -2.09,    22.28
2024Sep18 05:54:00,        0,    -2.09,    22.22
2024Sep18 05:59:00,        0,    -2.09,    22.23
2024Sep18 06:04:00,        0,    -2.09,    22.32
2024Sep18 06:09:00,        0,    -2.09,    22.19
2024Sep18 06:15:00,        0,    -2.09,    22.32
2024Sep18 06:20:00,        0,    -2.09,    22.37
2024Sep18 06:25:00,        0,    -2.09,    22.41
2024Sep18 06:30:00,        0,    -2.09,    22.46
2024Sep18 06:35:00,        0,    -2.09,    22.39
2024Sep18 06:40:00,        0,    -2.09,    22.61
2024Sep18 06:45:00,        0,    -2.09,    22.66
2024Sep18 06:50:00,        0,    -2.09,    22.77
2024Sep18 06:55:00,        0,    -2.09,    22.95
2024Sep18 07:00:00,        0,    -2.09,    23.12
2024Sep18 07:05:00,        0,    -2.09,    23.24
